Kota Jakarta Selatan,78.09,61.76
Kota Jakarta Timur,122.73,91.61
Kota Jakarta Pusat,41.92,34.13
Kota Jakarta Barat,110.9,84.02
Kota Jakarta Utara,123.59,91.09
JAWA BARAT,3920.23,3399.16
Bogor,465.67,395.03
Sukabumi,175.1,153.3
Cianjur,234.47,207.07
Bandung,263.6,223.21
Garut,262.78,235.19
Tasikmalaya,181.52,159.93
Ciamis,91.39,79.41
Kuningan,139.2,123.16
Cirebon,247.94,217.64
Majalengka,138.21,121.06
Sumedang,118.38,104.18
Indramayu,220.31,191.86
Subang,149.81,129.18
Purwakarta,80.17,71.86
Karawang,195.41,173.66
Bekasi,186.3,149.43
Bandung Barat,179.46,159.03
Pangandaran,36.05,30.73
Kota Bogor,75.04,63.97
Kota Sukabumi,25.42,21.87
Kota Bandung,100.02,84.67
Kota Cirebon,30.61,26.8
Kota Bekasi,134.01,113.65
Kota Depok,60.43,49.35
Kota Cimahi,31.64,26.91
Kota Tasikmalaya,86.13,76.98
Kota Banjar,11.16,10.07
JAWA TENGAH,3980.9,3743.23
Cilacap,198.6,185.18
Banyumas,225.84,211.65
Purbalingga,149.48,140.07
Banjarnegara,144.95,136.1
Kebumen,211.09,201.34
Purworejo,84.79,82.17
Wonosobo,137.64,131.35
Magelang,146.34,137.45
Boyolali,100.59,93.75
Klaten,151.83,144.14
Sukoharjo,68.89,63.55
Wonogiri,104.37,98.28
Karanganyar,91.72,84.46
Sragen,119.38,113.83
Grobogan,172.26,161.92
Blora,103.73,97.86
Rembang,100.08,95.26
Pati,127.37,118.98
Kudus,64.24,58
Jepara,91.14,83.47
Demak,146.87,137.6
Semarang,79.88,73.9
Temanggung,77.33,72.57
Kendal,97.49,91.2
Batang,70.57,64.07
Pekalongan,91.86,87.01
Pemalang,209.03,200.67
Tegal,117.5,109.94
Brebes,308.78,293.18
Kota Magelang,9.27,9.1
Kota Surakarta,47.03,45.18
Kota Salatiga,9.69,9.21
Kota Semarang,79.58,71.97
Kota Pekalongan,22.16,20.21
Kota Tegal,19.55,18.64
D I YOGYAKARTA,475.72,448.47
Kulon Progo,78.06,74.62
Bantul,138.66,131.15
Gunung Kidul,127.61,123.08
Sleman,99.78,90.17
Kota Yogyakarta,31.62,29.45
JAWA TIMUR,4419.1,4112.25
Pacitan,80.82,75.86
Ponorogo,86.74,83.97
Trenggalek,81.06,76.44
Tulungagung,76.4,70.01
Blitar,108.55,103.75
Kediri,179.93,163.95
Malang,265.56,246.6
Lumajang,102.6,98.88
Jember,247.99,226.57
Banyuwangi,130.37,121.37
Bondowoso,110.24,103.33
Situbondo,83.74,76.44
Probolinggo,218.35,207.22
Pasuruan,151.43,141.09
Sidoarjo,127.05,119.29
Mojokerto,118.8,108.81
Jombang,125.94,116.44
Nganjuk,122.73,118.51
Madiun,78.3,71.91
Magetan,65.09,60.43
Ngawi,128.19,119.43
Bojonegoro,161.1,154.64
Tuban,187.13,170.8
Lamongan,164.68,157.11
Gresik,164.05,148.61
Bangkalan,204,186.11
Sampang,224.74,202.21
Pamekasan,129.41,122.43
Sumenep,220.23,211.98
Kota Kediri,22.19,20.54
Kota Blitar,11.1,10.1
Kota Malang,38.77,35.39
Kota Probolinggo,17.72,16.37
Kota Pasuruan,13.4,12.92
Kota Mojokerto,8.09,6.63
Kota Madiun,8.83,7.69
Kota Surabaya,145.67,130.55
Kota Batu,8.12,7.89
BANTEN,775.99,654.46
Pandeglang,120.44,114.09
Lebak,120.83,107.93
Tangerang,242.16,193.97
Serang,74.8,61.54
Kota Tangerang,118.22,98.37
Kota Cilegon,16.31,13.2
Kota Serang,42.24,36.21
Kota Tangerang Selatan,40.99,29.16
BALI,165.19,163.85
Jembrana,12.6,13.55
